center_tree_number,quadrant_NE_SE_SW_NW,ash_species,black_ash_present_y_n,green_white_pumpkin_ash_present_y_n,number_of_stems,EAB_exit_holes_y_n,woodpecker_marks_y_n,ash_bark_splitting_y_n ,epicormic_sprouts_y_n,basal_sprouts_y_n,percent_stems_with_signs_or_symptoms,ash_saplings_notes,
1,NE,,,,0,,,,,,,,
1,SE,,,,0,,,,,,,,
1,SW,,,,0,,,,,,,,
1,NW,,,,0,,,,,,,,
2,NE,,,,0,n,n,n,n,n,0,,
2,SE,,,,4,n,n,n,n,n,0,,
2,SW,,,,2,n,n,n,n,n,0,,
2,NW,,,,2,n,n,n,n,n,0,,
3,NE,,,,2,n,n,n,n,n,0,,
3,SE,,,,1,n,n,n,n,n,0,,
3,SW,,,,2,n,n,y,y,n,50,,
3,NW,,,,3,n,n,n,n,n,0,,
95,NE,,,,3,,,,,,,,
95,SE,,,,0,,,,,,,,
95,SW,,,,1,,,,,,,,
95,NW,,,,1,,,,,,,,
49,NE,,,,1,,,,,,,,
49,SE,,,,1,,,,,,,,
49,SW,,,,4,,,,,,,,
49,NW,,,,0,,,,,,,,
50,NE,,,,0,,,,,,,,
50,SE,,,,3,,,,,,,,
50,SW,,,,0,,,,,,,,
50,NW,,,,0,,,,,,,,
53,NE,,,,26,,,,,,,many of the saplings are in the 2-2.5 cm range,
53,SE,,,,20,,,,,,,,
53,SW,,,,14,,,,,,,,
53,NW,,,,28,,,,,,,,
94,NE,,,,14,,,,,,,,
94,SE,,,,22,,,,,,,,
94,SW,,,,1,,,,,,,,
94,NW,,,,1,,,,,,,,
97,NE,,,,8,,,,,,,,
97,SE,,,,3,,,,,,,,
97,SW,,,,2,,,,,,,,
97,NW,,,,0,,,,,,,,
98,NE,,,,0,,,,,,,,
98,SE,,,,0,,,,,,,,
98,SW,,,,0,,,,,,,,
98,NW,,,,0,,,,,,,,
99,NE,,,,0,,,,,,,,
99,SE,,,,0,,,,,,,,
99,SW,,,,0,,,,,,,,
99,NW,,,,0,,,,,,,,
96,NE,,,,8,,,,,,,,
96,SE,,,,16,,,,,,,,
96,SW,,,,15,,,,,,,,
96,NW,,,,6,,,,,,,,
51,NE,,,,2,n,n,n,n,n,0,,
51,SE,,,,1,n,n,n,n,n,0,,
51,SW,,,,0,NA,NA,NA,NA,NA,NA,,
51,NW,,,,0,NA,NA,NA,NA,NA,NA,,
52,NE,,,,4,n,n,n,n,n,0,,
52,SE,,,,1,n,n,n,n,n,0,,
52,SW,,,,1,n,n,n,n,n,0,,
52,NW,,,,3,n,n,y,n,n,33,,
54,NE,,,,0,NA,NA,NA,NA,NA,NA,,
54,SE,,,,0,NA,NA,NA,NA,NA,NA,,
54,SW,,,,0,NA,NA,NA,NA,NA,NA,,
54,NW,,,,0,NA,NA,NA,NA,NA,NA,,
39,NE,black,y,n,2,n,n,n,n,n,0,,
39,SE,NA,,,0,NA,NA,NA,NA,NA,NA,,
39,SW,NA,,,0,NA,NA,NA,NA,NA,NA,,
39,NW,green and black,y,y,3,n,n,n,n,n,0,,
38,NE,green and black,y,y,4,n,n,n,n,n,0,,
38,SE,green or white and black,y,y,2,n,n,n,n,n,0,,
38,SW,green or white and black,y,y,3,n,n,n,n,n,0,,
38,NW,black,y,n,1,n,n,n,y,n,100,,
37,NE,NA,,,0,NA,NA,NA,NA,NA,NA,,
37,SE,black,y,n,1,n,n,n,n,n,0,,
37,SW,green and black,y,y,4,n,n,y,n,n,25,,
37,NW,black,y,n,1,n,n,n,n,n,0,,
25,NE,black,y,n,1,n,n,n,n,n,0,,
25,SE,green or white and black,y,y,8,n,y,y,n,y,50,,
25,SW,green or white and black,y,y,12,n,n,y,y,y,25,,
25,NW,green or white and black,y,y,14,,,,,,,,
57,NE,green or white,n,y,1,n,n,n,n,n,0,,
57,SE,NA,,,0,NA,NA,NA,NA,NA,NA,,
57,SW,NA,,,0,NA,NA,NA,NA,NA,NA,,
57,NW,NA,,,0,NA,NA,NA,NA,NA,NA,,
56,NE,NA,,,0,NA,NA,NA,NA,NA,NA,,
56,SE,NA,,,0,NA,NA,NA,NA,NA,NA,,
56,SW,NA,,,0,NA,NA,NA,NA,NA,NA,,
56,NW,NA,,,0,NA,NA,NA,NA,NA,NA,,
26,NE,?,,,2,n,n,n,n,n,0,,
26,SE,?,,,10,n,n,y,n,n,30,,
26,SW,?,,,1,n,n,n,n,n,0,,
26,NW,?,,,2,n,n,n,n,n,0,,
27,NE,?,,,2,n,n,n,n,n,0,,
27,SE,?,,,5,n,n,n,n,n,0,,
27,SW,?,,,6,n,n,y,n,n,50,,
27,NW,?,,,2,n,n,n,n,n,0,,
33,NE,?,,,3,n,n,n,n,n,0,,
33,SE,black,y,n,1,n,n,n,n,n,0,,
33,SW,?,,,6,n,n,y,n,n,50,,
33,NW,?,,,13,n,n,y,n,n,15,,
31,NE,NA,,,0,NA,NA,NA,NA,NA,NA,,
31,SE,NA,,,0,NA,NA,NA,NA,NA,NA,,
31,SW,NA,,,0,NA,NA,NA,NA,NA,NA,,
31,NW,NA,,,0,NA,NA,NA,NA,NA,NA,,
32,NE,NA,,,0,NA,NA,NA,NA,NA,NA,,
32,SE,NA,,,0,NA,NA,NA,NA,NA,NA,,
32,SW,NA,,,0,NA,NA,NA,NA,NA,NA,,
32,NW,NA,,,0,NA,NA,NA,NA,NA,NA,,
36,NE,NA,,,0,NA,NA,NA,NA,NA,NA,,
36,SE,NA,,,0,NA,NA,NA,NA,NA,NA,,
36,SW,NA,,,0,NA,NA,NA,NA,NA,NA,,
36,NW,NA,,,0,NA,NA,NA,NA,NA,NA,,
35,NE,NA,,,0,NA,NA,NA,NA,NA,NA,,
35,SE,?,,,2,n,n,n,n,n,0,,
35,SW,?,,,1,n,n,n,n,n,0,,
35,NW,NA,,,0,NA,NA,NA,NA,NA,NA,,
34,NE,?,,,1,n,n,n,n,n,0,,
34,SE,NA,,,0,NA,NA,NA,NA,NA,NA,,
